#radius total type_0_0 type_0_1 type_0_2 type_0_3
0.00750 0.00000 0.00000 0.00000 0.00000 0.00000
0.02250 0.00000 0.00000 0.00000 0.00000 0.00000
0.03750 0.02928 0.34417 0.00000 0.00000 0.00000
0.05250 0.02988 0.35128 0.00000 0.00000 0.00000
0.06750 0.13559 1.59383 0.00000 0.00000 0.00000
0.08250 0.28891 3.39611 0.00000 0.00000 0.00000
0.09750 0.53391 6.27621 0.00000 0.00000 0.00000
0.11250 0.68661 8.07123 0.00000 0.00000 0.00000
0.12750 0.77396 9.09802 0.00000 0.00000 0.00000
0.14250 0.72301 8.49307 0.00000 0.01043 0.00000
0.15750 0.58563 6.87927 0.00000 0.00854 0.00000
0.17250 0.40861 4.79107 0.00948 0.00710 0.00000
0.18750 0.28202 3.27046 0.02410 0.04218 0.00000
0.20250 0.18354 2.09262 0.04477 0.04646 0.00000
0.21750 0.11555 1.23045 0.11041 0.05818 0.00000
0.23250 0.09561 0.86195 0.26904 0.05488 0.00000
0.24750 0.09397 0.46435 0.67548 0.10718 0.00000
0.26250 0.13433 0.27223 1.42218 0.15370 0.00000
0.27750 0.20376 0.15246 2.54694 0.10450 0.00000
0.29250 0.30627 0.11035 3.94118 0.19556 0.00000
0.30750 0.40757 0.09213 5.34019 0.21281 0.00000
0.32250 0.50410 0.06285 6.70154 0.20775 0.00000
0.33750 0.53393 0.05950 7.12169 0.19709 0.00000
0.35250 0.51442 0.04286 6.88555 0.17897 0.00000
0.36750 0.43971 0.04033 5.87146 0.16779 0.00000
0.38250 0.35525 0.03227 4.74467 0.13462 0.00000
0.39750 0.26137 0.02298 3.45758 0.15012 0.00000
0.41250 0.17251 0.04127 2.24550 0.10830 0.00000
0.42750 0.10929 0.02980 1.40463 0.08925 0.00000
0.44250 0.06526 0.03585 0.80342 0.07464 0.00000
0.45750 0.03896 0.03586 0.44255 0.07489 0.00000
0.47250 0.02264 0.03957 0.22581 0.05787 0.00000
0.48750 0.01698 0.05093 0.13726 0.05437 0.00000
0.50250 0.01166 0.06663 0.05200 0.04529 0.00000
0.51750 0.01173 0.08542 0.02794 0.04982 0.00000
