#radius total type_0_0 type_0_1 type_0_2 type_0_3
0.00750 0.00000 0.00000 0.00000 0.00000 0.00000
0.02250 0.00000 0.00000 0.00000 0.00000 0.00000
0.03750 0.00000 0.00000 0.00000 0.00000 0.00000
0.05250 0.00000 0.00000 0.00000 0.00000 0.00000
0.06750 0.01116 0.13124 0.00000 0.00000 0.00000
0.08250 0.05379 0.63233 0.00000 0.00000 0.00000
0.09750 0.10485 1.23256 0.00000 0.00000 0.00000
0.11250 0.12217 1.43607 0.00000 0.00000 0.00000
0.12750 0.14889 1.75024 0.00000 0.00000 0.00000
0.14250 0.11820 1.38950 0.00000 0.00000 0.00000
0.15750 0.09759 1.14717 0.00000 0.00000 0.00000
0.17250 0.07315 0.85593 0.00468 0.00000 0.00000
0.18750 0.03848 0.44552 0.00794 0.00000 0.00000
0.20250 0.02853 0.33535 0.00000 0.00000 0.00000
0.21750 0.01419 0.15923 0.00886 0.00000 0.00000
0.23250 0.00866 0.09069 0.01289 0.00000 0.00000
0.24750 0.00930 0.04292 0.07742 0.00000 0.00000
0.26250 0.01446 0.03643 0.15587 0.00000 0.00000
0.27750 0.02403 0.01242 0.31511 0.00000 0.00000
0.29250 0.04066 0.00978 0.54622 0.00000 0.00000
0.30750 0.06433 0.01517 0.86450 0.00000 0.00000
0.32250 0.07638 0.00230 1.04481 0.00000 0.00000
0.33750 0.08340 0.00210 1.14135 0.00000 0.00000
0.35250 0.07972 0.00481 1.08775 0.00000 0.00000
0.36750 0.07546 0.00620 1.02770 0.00000 0.00000
0.38250 0.05019 0.00245 0.68547 0.00000 0.00000
0.39750 0.03444 0.00454 0.46703 0.00000 0.00000
0.41250 0.02242 0.00351 0.30334 0.00000 0.00000
0.42750 0.01202 0.00458 0.15953 0.00000 0.00000
0.44250 0.00644 0.00305 0.08477 0.00000 0.00000
0.45750 0.00418 0.00457 0.05197 0.00000 0.00000
0.47250 0.00232 0.00321 0.02811 0.00000 0.00000
0.48750 0.00103 0.00604 0.00705 0.00000 0.00000
0.50250 0.00133 0.00947 0.00718 0.00000 0.00000
0.51750 0.00068 0.00625 0.00208 0.00000 0.00000
