#radius total type_0_0 type_0_1 type_0_2 type_0_3
0.00750 0.00000 0.00000 0.00000 0.00000 0.00000
0.02250 0.02018 0.23722 0.00000 0.00000 0.00000
0.03750 0.00000 0.00000 0.00000 0.00000 0.00000
0.05250 0.02229 0.26203 0.00000 0.00000 0.00000
0.06750 0.06287 0.73908 0.00000 0.00000 0.00000
0.08250 0.21507 2.52813 0.00000 0.00000 0.00000
0.09750 0.27997 3.29111 0.00000 0.00000 0.00000
0.11250 0.34936 4.10678 0.00000 0.00000 0.00000
0.12750 0.38789 4.55963 0.00000 0.00000 0.00000
0.14250 0.35738 4.20109 0.00000 0.00000 0.00000
0.15750 0.29421 3.45848 0.00000 0.00000 0.00000
0.17250 0.20227 2.37369 0.00000 0.00707 0.00000
0.18750 0.13801 1.61893 0.00399 0.00000 0.00000
0.20250 0.08487 0.99177 0.00685 0.00000 0.00000
0.21750 0.05582 0.62311 0.03264 0.00891 0.00000
0.23250 0.03295 0.32278 0.06752 0.01168 0.00000
0.24750 0.02758 0.17292 0.17416 0.00343 0.00000
0.26250 0.04159 0.09779 0.44204 0.02139 0.00000
0.27750 0.06460 0.07188 0.78565 0.02462 0.00000
0.29250 0.09667 0.04640 1.24042 0.04677 0.00000
0.30750 0.13726 0.03054 1.81864 0.04230 0.00000
0.32250 0.16544 0.01967 2.20680 0.05871 0.00000
0.33750 0.17928 0.01796 2.40690 0.04623 0.00000
0.35250 0.16779 0.00774 2.25374 0.05761 0.00000
0.36750 0.15454 0.01068 2.07361 0.04989 0.00000
0.38250 0.11635 0.01234 1.55630 0.03743 0.00000
0.39750 0.08337 0.00762 1.10520 0.04396 0.00000
0.41250 0.05282 0.01344 0.69136 0.02599 0.00000
0.42750 0.03338 0.00987 0.43247 0.02074 0.00000
0.44250 0.01929 0.01045 0.23730 0.02258 0.00000
0.45750 0.01051 0.01610 0.11335 0.01811 0.00000
0.47250 0.00573 0.01347 0.05345 0.01415 0.00000
0.48750 0.00452 0.02076 0.02835 0.01417 0.00000
0.50250 0.00381 0.02382 0.01557 0.01334 0.00000
0.51750 0.00363 0.03055 0.00682 0.01101 0.00000
0.53250 0.00357 0.03395 0.00297 0.00965 0.00000
0.54750 0.00461 0.04175 0.00140 0.01967 0.00000
0.56250 0.00440 0.04489 0.00044 0.01131 0.00000
0.57750 0.00565 0.05988 0.00042 0.01073 0.00000
0.59250 0.00513 0.05210 0.00040 0.01379 0.00000
0.60750 0.00510 0.05315 0.00000 0.01198 0.00000
0.62250 0.00655 0.06800 0.00000 0.01576 0.00000
0.63750 0.00670 0.06573 0.00000 0.02280 0.00000
0.65250 0.00591 0.05935 0.00000 0.01781 0.00000
0.66750 0.00528 0.05455 0.00000 0.01323 0.00000
0.68250 0.00560 0.05373 0.00030 0.02080 0.00000
0.69750 0.00440 0.04254 0.00000 0.01602 0.00000
0.71250 0.00393 0.04005 0.00000 0.01079 0.00000
0.72750 0.00375 0.03615 0.00000 0.01393 0.00000
0.74250 0.00278 0.02903 0.00000 0.00649 0.00000
0.75750 0.00209 0.01951 0.00024 0.00844 0.00000
0.77250 0.00146 0.01310 0.00047 0.00635 0.00000
0.78750 0.00116 0.00990 0.00000 0.00645 0.00000
0.80250 0.00092 0.00990 0.00000 0.00163 0.00000
0.81750 0.00060 0.00612 0.00042 0.00095 0.00000
0.83250 0.00032 0.00278 0.00041 0.00122 0.00000
0.84750 0.00023 0.00251 0.00020 0.00000 0.00000
0.86250 0.00019 0.00146 0.00057 0.00057 0.00000
0.87750 0.00009 0.00047 0.00073 0.00000 0.00000
0.89250 0.00013 0.00091 0.00071 0.00000 0.00000
0.90750 0.00015 0.00029 0.00153 0.00026 0.00000
0.92250 0.00011 0.00042 0.00099 0.00000 0.00000
0.93750 0.00009 0.00000 0.00128 0.00000 0.00000
0.95250 0.00014 0.00013 0.00170 0.00000 0.00000
0.96750 0.00022 0.00013 0.00285 0.00000 0.00000
0.98250 0.00028 0.00000 0.00378 0.00000 0.00000
0.99750 0.00029 0.00012 0.00381 0.00000 0.00000
1.01250 0.00033 0.00000 0.00452 0.00000 0.00000
1.02750 0.00041 0.00011 0.00545 0.00000 0.00000
1.04250 0.00039 0.00000 0.00529 0.00000 0.00000
1.05750 0.00055 0.00011 0.00741 0.00000 0.00000
1.07250 0.00059 0.00000 0.00805 0.00000 0.00000
1.08750 0.00061 0.00010 0.00831 0.00000 0.00000
1.10250 0.00054 0.00000 0.00739 0.00000 0.00000
1.11750 0.00040 0.00000 0.00551 0.00000 0.00000
1.13250 0.00052 0.00000 0.00711 0.00000 0.00000
1.14750 0.00040 0.00000 0.00544 0.00000 0.00000
1.16250 0.00048 0.00000 0.00665 0.00000 0.00000
1.17750 0.00048 0.00000 0.00658 0.00000 0.00000
1.19250 0.00041 0.00000 0.00563 0.00000 0.00000
1.20750 0.00039 0.00000 0.00530 0.00000 0.00000
1.22250 0.00034 0.00000 0.00470 0.00000 0.00000
1.23750 0.00023 0.00000 0.00312 0.00000 0.00000
1.25250 0.00015 0.00000 0.00206 0.00000 0.00000
1.26750 0.00021 0.00000 0.00288 0.00000 0.00000
1.28250 0.00014 0.00000 0.00196 0.00000 0.00000
1.29750 0.00016 0.00007 0.00208 0.00000 0.00000
1.31250 0.00011 0.00000 0.00155 0.00000 0.00000
1.32750 0.00006 0.00000 0.00088 0.00000 0.00000
1.34250 0.00002 0.00000 0.00023 0.00000 0.00000
1.35750 0.00004 0.00000 0.00053 0.00000 0.00000
1.37250 0.00004 0.00000 0.00052 0.00000 0.00000
1.38750 0.00004 0.00000 0.00036 0.00000 0.00004
1.40250 0.00004 0.00000 0.00007 0.00000 0.00011
1.41750 0.00007 0.00000 0.00007 0.00000 0.00021
1.43250 0.00007 0.00000 0.00014 0.00000 0.00022
1.44750 0.00015 0.00000 0.00013 0.00000 0.00049
1.46250 0.00034 0.00006 0.00000 0.00000 0.00117
1.47750 0.00084 0.00000 0.00000 0.00000 0.00289
1.49250 0.00155 0.00005 0.00006 0.00000 0.00528
1.50750 0.00300 0.00005 0.00006 0.00000 0.01024
1.52250 0.00557 0.00010 0.00000 0.00000 0.01906
1.53750 0.00916 0.00036 0.00000 0.00000 0.03130
