170	443.15	13.14492	12.70599						
174.5	447.65	13.14455	12.70637						
177.5	450.65	13.14437	12.7064						
182	455.15	13.14764	12.70949						
186.5	459.65	13.14646	12.7098						
191	464.15	13.14843	12.71148						
197	470.15	13.14883	12.71282						
201.5	474.65	13.1482	12.71302						
206	479.15	13.15024	12.71622						
212	485.15	13.14912	12.71686						
218	491.15	13.15077	12.71855						
224	497.15	13.15133	12.7206						
230	503.15	13.15157	12.72135						
237.5	510.65	13.15503	12.72635						
245	518.15	13.15627	12.72884						
252.5	525.65	13.15801	12.73217						
261.5	534.65	13.15761	12.73208						
270.5	543.65	13.15766	12.73548						
279.5	552.65	13.15968	12.73887						
288.5	561.65	13.16174	12.74309						
299	572.15	13.16333	12.74634						
311	584.15	13.16559	12.74959						
323	596.15	13.1674	12.75548						
336.5	609.65	13.16895	12.75937						
351.5	624.65	13.17244	12.76649						
371	644.15	13.17564	12.77234						
390.5	663.65	13.1771	12.77919						
414.5	687.65	13.18249	12.789						
443	716.15	13.18688	12.80297						
479	752.15	13.1915	12.81982						
525.5	798.65	13.19451	12.84228						
575	848.15	13.19668	12.8639						
598.5	871.65	13.19565	12.8777						
600.5	873.65	13.18954	12.89724						
625.5	898.65	13.18491	12.90164						
625.5	898.65	13.10481	13.10481						
675	948.15	13.11627	13.11627						
726	999.15	13.12767	13.12767						
775.5	1048.65	13.13999	13.13999						
826.5	1099.65	13.15106	13.15106						
876	1149.15	13.1635	13.1635						
925.5	1198.65	13.1745	13.1745						
975	1248.15	13.18171	13.18171						
