#radius total type_0_0 type_0_1 type_0_2 type_0_3
0.00750 0.00000 0.00000 0.00000 0.00000 0.00000
0.02250 0.00000 0.00000 0.00000 0.00000 0.00000
0.03750 0.00000 0.00000 0.00000 0.00000 0.00000
0.05250 0.00000 0.00000 0.00000 0.00000 0.00000
0.06750 0.00000 0.00000 0.00000 0.00000 0.00000
0.08250 0.00000 0.00000 0.00000 0.00000 0.00000
0.09750 0.00000 0.00000 0.00000 0.00000 0.00000
0.11250 0.00000 0.00000 0.00000 0.00000 0.00000
0.12750 0.00000 0.00000 0.00000 0.00000 0.00000
0.14250 0.00000 0.00000 0.00000 0.00000 0.00000
0.15750 0.00000 0.00000 0.00000 0.00000 0.00000
0.17250 0.00000 0.00000 0.00000 0.00000 0.00000
0.18750 0.00000 0.00000 0.00000 0.00000 0.00000
0.20250 0.00000 0.00000 0.00000 0.00000 0.00000
0.21750 0.00000 0.00000 0.00000 0.00000 0.00000
0.23250 0.00019 0.00000 0.00254 0.00000 0.00000
0.24750 0.00000 0.00000 0.00000 0.00000 0.00000
0.26250 0.00058 0.00000 0.00800 0.00000 0.00000
0.27750 0.00104 0.00000 0.01432 0.00000 0.00000
0.29250 0.00070 0.00000 0.00966 0.00000 0.00000
0.30750 0.00191 0.00000 0.02623 0.00000 0.00000
0.32250 0.00396 0.00000 0.05432 0.00000 0.00000
0.33750 0.00388 0.00000 0.05322 0.00000 0.00000
0.35250 0.00283 0.00000 0.03880 0.00000 0.00000
0.36750 0.00253 0.00000 0.03468 0.00000 0.00000
0.38250 0.00172 0.00000 0.02354 0.00000 0.00000
0.39750 0.00140 0.00000 0.01919 0.00000 0.00000
0.41250 0.00053 0.00000 0.00729 0.00000 0.00000
0.42750 0.00022 0.00000 0.00301 0.00000 0.00000
0.44250 0.00036 0.00000 0.00493 0.00000 0.00000
0.45750 0.00005 0.00000 0.00066 0.00000 0.00000
0.47250 0.00005 0.00000 0.00062 0.00000 0.00000
0.48750 0.00000 0.00000 0.00000 0.00000 0.00000
0.50250 0.00000 0.00000 0.00000 0.00000 0.00000
0.51750 0.00000 0.00000 0.00000 0.00000 0.00000
