0.60 -9.817243 -0.146338
0.65 -9.800477 -0.520606
0.70 -9.765319 -0.886457
0.75 -9.711607 -1.265140
0.80 -9.638502 -1.661315
0.85 -9.545427 -2.059863
0.90 -9.432996 -2.429284
0.95 -9.303662 -2.728883
1.00 -9.161966 -2.917197
1.05 -9.014375 -2.959993
1.10 -8.868741 -2.836970
1.15 -8.733479 -2.546586
1.20 -8.616564 -2.107931
1.25 -8.524541 -1.558368
1.30 -8.461760 -0.946980
1.35 -8.430003 -0.325860
1.40 -8.428546 0.257973
1.45 -8.454566 0.768200
1.50 -8.503749 1.181886
1.55 -8.570981 1.489568
1.60 -8.650970 1.693366
1.65 -8.738760 1.803902
1.70 -8.830066 1.836812
1.75 -8.921440 1.809584
1.80 -9.010305 1.739135
1.85 -9.094882 1.640296
1.90 -9.174063 1.525081
1.95 -9.247270 1.402572
2.00 -9.314307 1.279167
2.05 -9.375242 1.159050
2.10 -9.430308 1.044705
2.15 -9.479831 0.937426
2.20 -9.524178 0.837738
2.25 -9.563733 0.745729
2.30 -9.598877 0.661273
2.35 -9.629982 0.584169
2.40 -9.657412 0.514197
2.45 -9.681517 0.451137
2.50 -9.702637 0.394752
2.55 -9.721099 0.344763
2.60 -9.737215 0.300830
2.65 -9.751276 0.262543
2.70 -9.763555 0.229426
2.75 -9.774296 0.200957
2.80 -9.783719 0.176585
2.85 -9.792014 0.155764
2.90 -9.799346 0.137974
2.95 -9.805854 0.122738
3.00 -9.811655 0.109638
3.05 -9.816847 0.098312
3.10 -9.821511 0.088455
3.15 -9.825713 0.079810
3.20 -9.829509 0.072158
3.25 -9.832942 0.065312
3.30 -9.836051 0.059110
3.35 -9.838862 0.053415
3.40 -9.841399 0.048113
3.45 -9.843678 0.043118
3.50 -9.845715 0.038374
3.55 -9.847519 0.033852
3.60 -9.849103 0.029550
3.65 -9.850478 0.025487
3.70 -9.851657 0.021692
3.75 -9.852652 0.018194
3.80 -9.853481 0.015011
3.85 -9.854159 0.012141
3.90 -9.854700 0.009561
3.95 -9.855119 0.007221
4.00 -9.855425 0.005055
4.05 -9.855626 0.002998
4.10 -9.855727 0.001044
4.15 -9.855732 -0.000800
4.20 -9.855649 -0.002525
4.25 -9.855482 -0.004123
4.30 -9.855239 -0.005586
4.35 -9.854926 -0.006908
4.40 -9.854550 -0.008081
4.45 -9.854120 -0.009100
4.50 -9.853643 -0.009961
4.55 -9.853127 -0.010661
4.60 -9.852580 -0.011199
4.65 -9.852010 -0.011577
4.70 -9.851425 -0.011798
4.75 -9.850832 -0.011868
4.80 -9.850240 -0.011794
4.85 -9.849655 -0.011588
4.90 -9.849084 -0.011259
4.95 -9.848531 -0.010824
5.00 -9.848003 -0.010296
5.05 -9.847503 -0.009692
5.10 -9.847034 -0.009029
5.15 -9.846600 -0.008323
5.20 -9.846203 -0.007591
5.25 -9.845842 -0.006848
5.30 -9.845518 -0.006111
5.35 -9.845230 -0.005391
5.40 -9.844978 -0.004700
5.45 -9.844760 -0.004049
5.50 -9.844572 -0.003443
5.55 -9.844414 -0.002889
5.60 -9.844283 -0.002388
5.65 -9.844175 -0.001943
5.70 -9.844088 -0.001550
5.75 -9.844019 -0.001207
5.80 -9.843966 -0.000909
5.85 -9.843927 -0.000647
5.90 -9.843901 -0.000415
5.95 -9.843885 -0.000202
6.00 -9.843880 0.000000
