#radius total type_0_0 type_0_1 type_0_2 type_0_3
0.00750 0.00000 0.00000 0.00000 0.00000 0.00000
0.02250 0.00000 0.00000 0.00000 0.00000 0.00000
0.03750 0.00000 0.00000 0.00000 0.00000 0.00000
0.05250 0.00000 0.00000 0.00000 0.00000 0.00000
0.06750 0.00000 0.00000 0.00000 0.00000 0.00000
0.08250 0.00000 0.00000 0.00000 0.00000 0.00000
0.09750 0.00000 0.00000 0.00000 0.00000 0.00000
0.11250 0.00000 0.00000 0.00000 0.00000 0.00000
0.12750 0.00000 0.00000 0.00000 0.00000 0.00000
0.14250 0.00000 0.00000 0.00000 0.00000 0.00000
0.15750 0.00000 0.00000 0.00000 0.00000 0.00000
0.17250 0.00000 0.00000 0.00000 0.00000 0.00000
0.18750 0.00000 0.00000 0.00000 0.00000 0.00000
0.20250 0.00000 0.00000 0.00000 0.00000 0.00000
0.21750 0.00000 0.00000 0.00000 0.00000 0.00000
0.23250 0.00376 0.04425 0.00000 0.00000 0.00000
0.24750 0.00000 0.00000 0.00000 0.00000 0.00000
0.26250 0.00443 0.05208 0.00000 0.00000 0.00000
0.27750 0.00264 0.03107 0.00000 0.00000 0.00000
0.29250 0.00357 0.04196 0.00000 0.00000 0.00000
0.30750 0.00323 0.03796 0.00000 0.00000 0.00000
0.32250 0.01174 0.13797 0.00000 0.00000 0.00000
0.33750 0.01072 0.12597 0.00000 0.00000 0.00000
0.35250 0.01802 0.21178 0.00000 0.00000 0.00000
0.36750 0.01281 0.15056 0.00000 0.00000 0.00000
0.38250 0.02086 0.24522 0.00000 0.00000 0.00000
0.39750 0.02061 0.24223 0.00000 0.00000 0.00000
0.41250 0.02812 0.33052 0.00000 0.00000 0.00000
0.42750 0.01837 0.21599 0.00000 0.00000 0.00000
0.44250 0.03273 0.38479 0.00000 0.00000 0.00000
0.45750 0.03647 0.42866 0.00000 0.00000 0.00000
0.47250 0.03372 0.39637 0.00000 0.00000 0.00000
0.48750 0.03596 0.42273 0.00000 0.00000 0.00000
0.50250 0.03345 0.39315 0.00000 0.00000 0.00000
0.51750 0.03761 0.44213 0.00000 0.00000 0.00000
