#radius total type_0_0 type_0_1 type_0_2 type_0_3
0.00750 0.00000 0.00000 0.00000 0.00000 0.00000
0.02250 0.00000 0.00000 0.00000 0.00000 0.00000
0.03750 0.00000 0.00000 0.00000 0.00000 0.00000
0.05250 0.00000 0.00000 0.00000 0.00000 0.00000
0.06750 0.00000 0.00000 0.00000 0.00000 0.00000
0.08250 0.00000 0.00000 0.00000 0.00000 0.00000
0.09750 0.00000 0.00000 0.00000 0.00000 0.00000
0.11250 0.00000 0.00000 0.00000 0.00000 0.00000
0.12750 0.00000 0.00000 0.00000 0.00000 0.00000
0.14250 0.00000 0.00000 0.00000 0.00000 0.00000
0.15750 0.00000 0.00000 0.00000 0.00000 0.00000
0.17250 0.00345 0.04051 0.00000 0.00000 0.00000
0.18750 0.00000 0.00000 0.00000 0.00000 0.00000
0.20250 0.00749 0.08803 0.00000 0.00000 0.00000
0.21750 0.00217 0.02546 0.00000 0.00000 0.00000
0.23250 0.00569 0.06688 0.00000 0.00000 0.00000
0.24750 0.01002 0.11784 0.00000 0.00000 0.00000
0.26250 0.00891 0.10478 0.00000 0.00000 0.00000
0.27750 0.01730 0.20331 0.00000 0.00000 0.00000
0.29250 0.01436 0.16884 0.00000 0.00000 0.00000
0.30750 0.02166 0.25465 0.00000 0.00000 0.00000
0.32250 0.02265 0.26628 0.00000 0.00000 0.00000
0.33750 0.02968 0.34884 0.00000 0.00000 0.00000
0.35250 0.03792 0.44575 0.00000 0.00000 0.00000
0.36750 0.06219 0.73101 0.00000 0.00000 0.00000
0.38250 0.05391 0.63375 0.00000 0.00000 0.00000
0.39750 0.06418 0.75445 0.00000 0.00000 0.00000
0.41250 0.07405 0.87042 0.00000 0.00000 0.00000
0.42750 0.07958 0.93544 0.00000 0.00000 0.00000
0.44250 0.08004 0.94090 0.00000 0.00000 0.00000
0.45750 0.08906 1.04690 0.00000 0.00000 0.00000
0.47250 0.08990 1.05676 0.00000 0.00000 0.00000
0.48750 0.09525 1.11963 0.00000 0.00000 0.00000
0.50250 0.08841 1.03927 0.00000 0.00000 0.00000
0.51750 0.10442 1.22750 0.00000 0.00000 0.00000
